id,username,password,is_admin,api_key,is_active,authenticated
1,user1,passwordHash1,0,api_key_1,1,0
2,user2,passwordHash2,0,api_key_2,1,0
3,user3,passwordHash3,1,api_key_3,1,1
4,user4,passwordHash4,0,api_key_4,1,0
5,user5,passwordHash5,0,api_key_5,1,0
6,user6,passwordHash6,1,api_key_6,1,1
7,user7,passwordHash7,0,api_key_7,1,0
8,user8,passwordHash8,0,api_key_8,1,0
9,user9,passwordHash9,1,api_key_9,1,1
10,user10,passwordHash10,0,api_key_10,1,0
11,user11,passwordHash11,0,api_key_11,1,0
12,user12,passwordHash12,1,api_key_12,1,1
13,user13,passwordHash13,0,api_key_13,1,0
14,user14,passwordHash14,0,api_key_14,1,0
15,user15,passwordHash15,1,api_key_15,1,1
16,user16,passwordHash16,0,api_key_16,1,0
17,user17,passwordHash17,0,api_key_17,1,0
18,user18,passwordHash18,1,api_key_18,1,1
19,user19,passwordHash19,0,api_key_19,1,0
20,user20,passwordHash20,0,api_key_20,1,0
21,user21,passwordHash21,1,api_key_21,1,1
22,user22,passwordHash22,0,api_key_22,1,0
23,user23,passwordHash23,0,api_key_23,1,0
24,user24,passwordHash24,1,api_key_24,1,1
25,user25,passwordHash25,0,api_key_25,1,0
